Month,Region,Channel,Profit,ROI
1,North,Online,4500,0.15
1,North,Retail,5200,0.18
1,North,Partner,4800,0.16
2,North,Online,5000,0.17
2,North,Retail,5400,0.19
2,North,Partner,4900,0.17
3,North,Online,4700,0.16
3,North,Retail,5600,0.2
3,North,Partner,5100,0.18
1,South,Online,4000,0.14
1,South,Retail,4200,0.15
1,South,Partner,3900,0.13
2,South,Online,4400,0.15
2,South,Retail,4600,0.16
2,South,Partner,4300,0.14
3,South,Online,4800,0.16
3,South,Retail,5000,0.17
3,South,Partner,4700,0.15
1,East,Online,6000,0.19
1,East,Retail,6200,0.2
1,East,Partner,6100,0.19
2,East,Online,6400,0.21
2,East,Retail,6600,0.22
2,East,Partner,6500,0.21
3,East,Online,7000,0.23
3,East,Retail,7200,0.24
3,East,Partner,7100,0.23
1,West,Online,4200,0.15
1,West,Retail,4400,0.16
1,West,Partner,4300,0.15
2,West,Online,4600,0.16
2,West,Retail,4800,0.17
2,West,Partner,4700,0.16
3,West,Online,4900,0.17
3,West,Retail,5100,0.18
3,West,Partner,5000,0.17
